source_file,line_number,ref_path
1.0/1.1.LED/1.1.1.Mission_First_Light.md,8,Placeholder_for_Blinking_LED.gif
1.0/1.1.LED/1.1.10.Five_LEDs_Blink.md,8,Placeholder_for_Knight_Rider.gif
1.0/1.1.LED/1.1.2.One_LED_Blink.md,8,Placeholder_for_Blinking_LED.gif
1.0/1.1.LED/1.1.3.LEDS_ON.md,8,Placeholder_for_Double_LED.gif
1.0/1.1.LED/1.1.4.Two_LED_Blink.md,8,Placeholder_for_Alternating_LEDs.gif
1.0/1.1.LED/1.1.5.Three_LEDs_ON.md,8,Placeholder_for_Triple_LED.gif
1.0/1.1.LED/1.1.6.Three_LEDs_Blink.md,8,Placeholder_for_SOS_LEDs.gif
1.0/1.1.LED/1.1.7.Four_LEDs_ON.md,8,Placeholder_for_Four_LED_ON.gif
1.0/1.1.LED/1.1.8.Four_LEDs_Blink.md,8,Placeholder_for_Sequential_LEDs.gif
1.0/1.1.LED/1.1.9.Five_LEDs_ON.md,8,Placeholder_for_Five_LED_ON.gif
1.0/1.2.Buzzer/1.2.1.Buzzer_ON_and_OFF.md,8,Placeholder_for_Buzzer_Beep.gif
1.0/1.2.Buzzer/1.2.2.Buzzer_Beep.md,8,Placeholder_for_Buzzer_Beep.gif
1.0/1.3.Push_Button/1.3.1.Push_Button_press_with_1_LED.md,8,Placeholder_for_Button_Press.gif
1.0/1.3.Push_Button/1.3.2.Push_Button_press_with_2_LEDs.md,8,Placeholder_for_Double_LED_Button.gif
1.0/1.3.Push_Button/1.3.3.Push_Button_press_with_3_LEDs.md,8,Placeholder_for_Triple_LED_Button.gif
1.0/1.3.Push_Button/1.3.4.Push_Button_press_with_4_LEDs.md,8,Placeholder_for_Four_LED_Button.gif
1.0/1.4.Traffic_Light/1.4.1.Traffic_Light_Red_ON.md,8,Placeholder_for_Traffic_Red.gif
1.0/1.4.Traffic_Light/1.4.2.Traffic_Light_Red_BLINK.md,8,Placeholder_for_Traffic_Red_Blink.gif
1.0/1.4.Traffic_Light/1.4.3.Traffic_Light_Yellow_ON.md,8,Placeholder_for_Traffic_Yellow.gif
1.0/1.4.Traffic_Light/1.4.4.Traffic_Light_Yellow_Blink.md,8,Placeholder_for_Traffic_Yellow_Blink.gif
1.0/1.4.Traffic_Light/1.4.5.Traffic_Light_Green_ON.md,8,Placeholder_for_Traffic_Green.gif
1.0/1.4.Traffic_Light/1.4.6.Traffic_Light_Green_Blink.md,8,Placeholder_for_Traffic_Green_Blink.gif
1.0/1.5.RGB/1.5.0.RGB_Intro.md,8,Placeholder_for_RGB_Cycle.gif
1.0/1.5.RGB/1.5.1.RGB_Red_On.md,8,Placeholder_for_RGB_Red.gif
1.0/1.5.RGB/1.5.2.RGB_Red_Blink.md,8,Placeholder_for_RGB_Red_Blink.gif
1.0/1.5.RGB/1.5.3.RGB_Green_On.md,8,Placeholder_for_RGB_Green.gif
1.0/1.5.RGB/1.5.3.RGB_Green_On.md,29,../../assets/1.0/RGB/GREEN_G_B/circuit_2.webp
